rank	chr	pos	variant	consequence_protein	Gene	abc_s	abc_s_CImin	abc_s_CImax	cnn_s	cnn_s_CImin	cnn_s_CImax	abc_t	abc_t_CImin	abc_t_CImax	cnn_t	cnn_t_CImin	cnn_t_CImax	failure	overlap_s	overlap_t	overlap_BA	ABC_s_CIextent	CNN_s_CIextent	ABC_t_CIextent	CNN_t_CIextent	JOB_ID	s_CORREL_CNN	s_CORREL_ABC	s_RMSE_CNN	s_RMSE_ABC	t_CORREL_CNN	t_CORREL_ABC	t_RMSE_CNN	t_RMSE_ABC
63	5	164760466	rs9314061	intergenic_region	CTB-181F24.1-CTC-535M15.2	0.014096352987217	0.00541295473432055	0.0280694262988872	0.01887715	0.004	0.042	1440.08967291624	-639.876539809507	8198.24628812675	2331.775625	1337.50000000001	7462.50000000001	0	1	1	1	0.0226564715645667	0.038	8838.12282793626	6125	JOB_16	0.918	0.834	0.042	0.071	0.704	0.553	0.283	0.397
3	6	30746519	rs3130673	upstream_gene_variant	HCG20	0.0961565293128787	0.0617144297990053	0.104263023983232	0.04641773	0.03	0.068	8828.18955862275	4533.04927216774	10056.2491442202	5687.6675	3000	9737.5	0	0	1	1	0.0425485941842267	0.038	5523.1998720525	6737.5	JOB_17	0.871	0.824	0.046	0.067	0.748	0.502	0.27	0.412
43	6	53877078	rs75770273	downstream_gene_variant	ERHP2	0.0237466683348642	0.0109931289801384	0.0428407169183204	0.03074095	0.011	0.062	1898.43513191525	-811.487044239499	7847.62493481125	1916.810375	1337.50000000001	4224.99999999999	0	1	1	1	0.031847587938182	0.051	8659.11197905075	2887.49999999999	JOB_18	0.861	0.823	0.052	0.075	0.62	0.486	0.33	0.421
87	7	1323037	rs62436708	intergenic_region	AC073094.4-MICALL2	0.010983869199982	0.00337698331278891	0.0237403374564973	0.00780845	0.002	0.018	2930.39204836475	291.408465211745	9261.37936385776	4381.2925	1337.50000000001	9737.5	0	1	1	1	0.0203633541437084	0.016	8969.97089864601	8399.99999999999	JOB_19	0.869	0.858	0.046	0.069	0.684	0.522	0.298	0.408
44	1	150633347	rs72700902	intron_variant	GOLPH3L	0.0178277586235596	0.00759996713275607	0.0359186356837485	0.01539393	0.001	0.041	1091.04881748576	-1246.527477783	7613.82035388524	2414.265375	1337.50000000001	8250	0	1	1	1	0.0283186685509924	0.04	8860.34783166825	6912.49999999999	JOB_20	0.829	0.803	0.068	0.098	0.582	0.411	0.362	0.479
80	7	74068167	rs4717903	upstream_gene_variant	GTF2I	0.0173969498857678	0.00625824528542976	0.0445076556544484	0.01408071	0.002	0.033	2431.77929146751	-827.566714665252	7920.735180108	3073.577	1337.50000000001	9212.50000000001	0	1	1	1	0.0382494103690186	0.031	8748.30189477325	7875	JOB_21	0.925	0.846	0.042	0.068	0.719	0.535	0.274	0.397
76	7	105730038	rs176482	downstream_gene_variant	SYPL1	0.0114720553532152	0.00446332756199463	0.0273314450437401	0.01107608	0.001	0.03	1567.29489583675	-660.526180885753	7992.63343403651	4384.4355	1337.50000000001	9737.5	0	1	1	1	0.0228681174817455	0.029	8653.15961492226	8399.99999999999	JOB_22	0.902	0.846	0.044	0.071	0.712	0.55	0.271	0.4
67	7	136627956	rs35345724	upstream_gene_variant	KRT8P51	0.0176115563991005	0.00706528329649648	0.0405108457110663	0.01572198	0.001	0.036	1757.570355507	-252.628560278495	9025.74975685501	2499.735375	1337.50000000001	8775.00000000001	0	1	1	1	0.0334455624145698	0.035	9278.3783171335	7437.5	JOB_23	0.88	0.837	0.053	0.077	0.664	0.543	0.328	0.403
25	7	150061525	rs13307276	upstream_gene_variant	REPIN1	0.0189007506961604	0.0089100943647418	0.0334587217425123	0.02690508	0.006	0.057	1758.68681891475	-487.163996288004	8322.14284956075	1898.27	1337.50000000001	4750	0	1	1	1	0.0245486273777705	0.051	8809.30684584875	3412.49999999999	JOB_24	0.893	0.843	0.048	0.069	0.71	0.571	0.293	0.384
39	1	164206815	rs6698312	intergenic_region	U3-NMNAT1P2	0.0167051002286892	0.00723194271838299	0.0319214248628587	0.02265821	0.008	0.041	1977.75674084851	-706.534272913245	8206.42330052225	1814.797625	1337.50000000001	3262.5	0	1	1	1	0.0246894821444757	0.033	8912.95757343549	1925	JOB_25	0.868	0.85	0.041	0.069	0.7	0.525	0.278	0.39
7	8	10729177	rs10095927	intergenic_region	RP11-177H2.2-XKR6	0.0360937229373718	0.0145274370174696	0.0672081084401215	0.01233536	0.005	0.023	7722.72088897475	3862.73596446826	12263.581643399	5904.405875	1775.00000000001	9737.5	0	0	1	1	0.0526806714226519	0.018	8400.84567893074	7962.49999999999	JOB_26	0.89	0.801	0.057	0.077	0.77	0.581	0.282	0.376
68	8	21052978	rs2631934	intergenic_region	AC021613.1-RP11-24P4.1	0.0187845178027068	0.00612415931368291	0.0468057780565771	0.00262949	0	0.01	2418.5847738735	-686.253953580248	7429.893965416	4489.158125	1337.50000000001	9737.5	0	0	1	1	0.0406816187428942	0.01	8116.14791899625	8399.99999999999	JOB_27	0.894	0.807	0.044	0.069	0.669	0.534	0.279	0.403
50	9	1162013	rs10809509	downstream_gene_variant	RPS27AP14	0.0153813418797709	0.00706522833571188	0.0297663357610037	0.01388022	0.002	0.031	2796.559505605	-295.754116346757	8739.51744200375	1772.6095	1337.50000000001	4224.99999999999	0	1	1	1	0.0227011074252918	0.029	9035.2715583505	2887.49999999999	JOB_28	0.879	0.83	0.045	0.073	0.709	0.52	0.302	0.407
56	9	4833437	rs458552	upstream_gene_variant	RCL1	0.0145626615599308	0.00696979261306468	0.0309921122130622	0.02488878	0.008	0.048	1643.74427430501	-875.846015484996	8079.8011581725	1610.037125	1337.50000000001	2737.5	0	1	1	1	0.0240223195999975	0.04	8955.6471736575	1399.99999999999	JOB_29	0.909	0.848	0.047	0.065	0.713	0.549	0.292	0.389
46	9	130997892	rs3003615	intron_variant	DNM1	0.0171139066154008	0.00685228930413688	0.0355692491832917	0.01016106	0.002	0.022	2344.91542479574	53.3576518359951	9175.08199950549	2193.068875	1337.50000000001	4224.99999999999	0	1	1	1	0.0287169598791548	0.02	9121.7243476695	2887.49999999999	JOB_30	0.905	0.828	0.051	0.078	0.68	0.523	0.303	0.409
65	9	132942794	rs3780710	intron_variant	NCS1	0.0145423484737766	0.00656696737833988	0.036174327461585	0.01542409	0.004	0.035	5263.018143601	1863.26011130475	10290.1600869775	4772.715875	1337.50000000001	9737.5	0	1	1	1	0.0296073600832451	0.031	8426.89997567274	8399.99999999999	JOB_31	0.867	0.831	0.05	0.063	0.712	0.529	0.294	0.421
37	9	136152009	rs8176635	upstream_gene_variant	ABO	0.0139356230456358	0.00822707891036667	0.038113195369698	0.01729726	0.011	0.027	4662.98844731975	1140.18267740875	8782.93888601975	4363.187	2474.99999999999	6500	0	1	1	0	0.0298861164593313	0.016	7642.756208611	4025.00000000001	JOB_32	0.876	0.808	0.047	0.077	0.72	0.583	0.275	0.369
84	10	3319474	rs1009543	intergenic_region	RP11-195B3.1-RP11-482E14.1	0.00993910261692988	0.00353192743040525	0.0242250999820911	0.00689068	0	0.023	2188.19154849425	-135.078503131751	8996.011118872	1786.25425	1337.50000000001	5012.5	0	1	1	1	0.0206931725516858	0.023	9131.08962200376	3675	JOB_33	0.91	0.85	0.046	0.066	0.707	0.495	0.291	0.407
22	10	61539402	rs721992	intergenic_region	LINC00948-CCDC6	0.0208502725661808	0.00897486399979904	0.0466768467124871	0.01500168	0.005	0.034	3752.14983216375	42.5012460392509	9523.19469938125	2353.503625	1337.50000000001	8775.00000000001	0	1	1	1	0.0377019827126881	0.029	9480.693453342	7437.5	JOB_34	0.9	0.836	0.052	0.071	0.671	0.53	0.303	0.392
13	10	65659657	rs4745827	downstream_gene_variant	RP11-170M17.2	0.0289822806221131	0.013432377134969	0.0529723007169474	0.01036814	0.001	0.032	5265.68901765275	2778.32432708	11927.1949359498	4202.590375	1337.50000000001	9737.5	0	1	1	0	0.0395399235819784	0.031	9148.87060886976	8399.99999999999	JOB_35	0.902	0.84	0.047	0.067	0.716	0.552	0.278	0.394
31	11	61552680	rs174537	downstream_gene_variant	TMEM258	0.0133655875065303	0.00839057436783053	0.0262081415821338	0.01529291	0.011	0.02	6870.7622538855	3535.93685695024	10440.2175631407	8645.479875	6500	10000	0	1	1	1	0.0178175672143033	0.009	6904.28070619051	3500	JOB_36	0.898	0.817	0.048	0.076	0.7	0.57	0.293	0.384
32	11	69579070	rs713217	intergenic_region	RP11-300I6.5-AP001888.1	0.0245534027878246	0.0105828873836526	0.0411727384706743	0.02822871	0.008	0.06	1515.54636182975	-744.6175549115	7911.49109188476	2054.131125	1337.50000000001	5275.00000000001	0	1	1	1	0.0305898510870217	0.052	8656.10864679626	3937.5	JOB_37	0.905	0.832	0.045	0.069	0.728	0.55	0.299	0.38
29	11	87527561	rs10501651	upstream_gene_variant	RP11-665E10.5	0.0299128805474008	0.01240881600833	0.0676432949250924	0.01318745	0	0.046	1929.309589597	-6.32827921124601	8745.4595072735	3375.237625	1337.50000000001	9212.50000000001	0	1	1	1	0.0552344789167624	0.046	8751.78778648474	7875	JOB_38	0.891	0.841	0.051	0.067	0.612	0.511	0.312	0.404
15	11	88513636	rs10765770	intron_variant	GRM5	0.0164457143570662	0.0101813692413963	0.03622564070222	0.0158213	0.011	0.021	5540.17125498351	3190.05444970675	10137.2930743595	8479.886125	6500	10000	0	1	1	1	0.0260442714608237	0.01	6947.23862465275	3500	JOB_39	0.919	0.861	0.046	0.071	0.706	0.5	0.292	0.419
88	12	1623989	rs12580172	intergenic_region	LINC00942-WNT5B	0.00986731269421275	0.00207754131577382	0.0277723711286826	0.00777933	0	0.026	2389.88142729725	983.869805346757	9966.42233553375	4460.90525	1337.50000000001	9737.5	0	1	1	1	0.0256948298129088	0.026	8982.55253018699	8399.99999999999	JOB_40	0.866	0.817	0.058	0.079	0.681	0.502	0.302	0.41
85	12	8716873	rs10841899;ss1388078300	intron_variant	RP11-561P12.5	0.0106444168626776	0.00332427455057251	0.0244508957285544	0.01437315	0.002	0.032	3456.7458663155	587.465049466999	9460.470941069	1930.88825	1337.50000000001	4750	0	1	1	1	0.0211266211779819	0.03	8873.00589160201	3412.49999999999	JOB_41	0.907	0.842	0.04	0.062	0.71	0.512	0.292	0.404
59	12	22289304	rs10841952	intron_variant	ST8SIA1	0.0133175309409632	0.00550344705627746	0.0269188238203969	0.00798536	0.001	0.024	2157.2619741995	-459.107845519497	8631.89945094174	2862.47275	1337.50000000001	9037.49999999999	0	1	1	1	0.0214153767641194	0.023	9091.00729646124	7699.99999999999	JOB_42	0.914	0.831	0.044	0.071	0.698	0.558	0.285	0.37
12	12	113325061	rs7958347	downstream_gene_variant	RPH3A	0.0225766872228597	0.010677811778866	0.0421925031641616	0.02329688	0.007	0.046	2090.20145011175	-539.799067383001	8158.882086566	2085.800875	1337.50000000001	5275.00000000001	0	1	1	1	0.0315146913852956	0.039	8698.681153949	3937.5	JOB_43	0.879	0.841	0.054	0.077	0.638	0.509	0.314	0.428
27	12	125246993	rs11057805	intergenic_region	NCOR2-SCARB1	0.030449886957865	0.0101788261298277	0.0600899438433424	0.0181112	0.006	0.041	6071.7824503535	117.587649285994	9316.49678522375	5955.7745	1337.50000000001	10000	0	1	1	1	0.0499111177135147	0.035	9198.90913593776	8662.49999999999	JOB_44	0.914	0.873	0.04	0.067	0.703	0.536	0.296	0.389
18	12	125510104	rs1055472	3_prime_UTR_variant	BRI3BP	0.0197842488305224	0.0100755718743585	0.0356615691326316	0.01074941	0.004	0.022	2894.22121596149	-173.745048638494	8009.4916302845	3800.9925	1337.50000000001	8775.00000000001	0	1	1	1	0.0255859972582731	0.018	8183.236678923	7437.5	JOB_45	0.907	0.848	0.037	0.063	0.715	0.545	0.287	0.389
75	13	69940025	rs10507766	intergenic_region	LINC00401-SRSF1P1	0.012060886748209	0.00481311585002791	0.0258923489369767	0.01430212	0.001	0.038	1423.77765704525	-636.944152550754	8385.942764626	2614.545	1337.50000000001	8775.00000000001	0	1	1	1	0.0210792330869488	0.037	9022.88691717675	7437.5	JOB_46	0.862	0.807	0.05	0.082	0.623	0.515	0.324	0.422
53	14	89884022	rs7422	upstream_gene_variant	FOXN3	0.0160258750091911	0.00595523118734922	0.0418077374481219	0.01768396	0.005	0.035	3324.79843240125	725.696631860998	10188.4575997685	2069.735875	1337.50000000001	6762.5	0	1	1	1	0.0358525062607727	0.03	9462.7609679075	5425	JOB_47	0.859	0.821	0.047	0.063	0.681	0.539	0.319	0.389
23	1	246429681	rs12033048	intron_variant	SMYD3	0.0330338932421304	0.012379072557189	0.0661405350109694	0.02567136	0.013	0.046	2894.09930731875	477.605383097	9317.54689178075	3631.22325	1775.00000000001	7287.49999999999	0	1	1	1	0.0537614624537804	0.033	8839.94150868375	5512.49999999999	JOB_48	0.862	0.827	0.049	0.062	0.665	0.523	0.292	0.415
78	14	93094298	rs7141996	intron_variant	RIN3	0.0145187372557988	0.00546522544917177	0.0315818759607759	0.00830424	0.001	0.023	1700.97378647225	-234.743822715757	8742.34448025474	5863.52325	1337.50000000001	10000	0	1	1	0	0.0261166505116041	0.022	8977.0883029705	8662.49999999999	JOB_49	0.926	0.846	0.047	0.063	0.68	0.566	0.311	0.388
40	15	69773781	rs8033465	intron_variant	RP11-279F6.1	0.0276603321224935	0.00460890176089472	0.0526551579475607	0.01574387	0.009	0.026	8505.49699345351	2519.223133803	10891.7068688273	6962.56175	2474.99999999999	10000	0	1	1	1	0.048046256186666	0.017	8372.48373502426	7525.00000000001	JOB_50	0.887	0.847	0.047	0.064	0.677	0.521	0.294	0.394
21	15	91108674	rs8031453	intron_variant	CRTC3	0.0306783370054107	0.0117644542174505	0.0622748860868685	0.03226682	0.006	0.076	880.689639060748	-778.697961576995	7968.1374352305	2360.22975	1337.50000000001	7287.49999999999	0	1	1	1	0.050510431869418	0.07	8746.8353968075	5949.99999999999	JOB_51	0.883	0.832	0.057	0.079	0.623	0.515	0.311	0.435
9	2	6643733	rs10188894	intron_variant	AC021021.2	0.0245141213348934	0.0128992628532679	0.0520598844606267	0.01737758	0.009	0.031	2590.45413265625	39.5002264795039	7935.83034074526	2656.650875	1512.5	4224.99999999999	0	1	1	1	0.0391606216073588	0.022	7896.33011426575	2712.49999999999	JOB_52	0.934	0.832	0.042	0.067	0.681	0.554	0.292	0.398
77	16	11297562	rs17605165	intron_variant	RP11-396B14.2	0.0135227946826491	0.00450167303284171	0.0361767848334932	0.00971407	0.003	0.019	8339.06855559	2395.84709279499	11242.3821132937	6875.4345	1775.00000000001	10000	0	1	1	1	0.0316751118006515	0.016	8846.53502049875	8224.99999999999	JOB_53	0.912	0.853	0.041	0.062	0.708	0.582	0.291	0.376
62	2	8530522	rs13009356	intergenic_region	LINC00299-AC011747.3	0.0137187559120026	0.00548722196272234	0.0304862555851292	0.01640093	0.006	0.029	3099.61005138075	325.894121643756	8589.09226716401	2563.794125	1337.50000000001	5537.49999999999	0	1	1	1	0.0249990336224069	0.023	8263.19814552025	4199.99999999999	JOB_54	0.856	0.847	0.046	0.065	0.744	0.533	0.295	0.397
89	16	29036915	rs4077347	intergenic_region	LAT-CTB-134H23.2	0.0112388899910738	0.00218517060863623	0.028037160317988	0.01163724	0.001	0.034	3315.28759459175	1059.3167581555	10457.648946591	3814.982875	1337.50000000001	9737.5	0	1	1	1	0.0258519897093518	0.033	9398.33218843549	8399.99999999999	JOB_55	0.858	0.831	0.046	0.068	0.711	0.524	0.285	0.416
45	16	79566150	snp_16_79566150;rs1364095	intergenic_region	RP11-467I17.1-MAF	0.0155069370189781	0.00640691192991183	0.0284651773860741	0.01619164	0.003	0.036	2455.84819823326	-552.580223364004	8846.878178596	1644.354625	1337.50000000001	2737.5	0	1	1	1	0.0220582654561623	0.033	9399.45840196	1399.99999999999	JOB_56	0.872	0.854	0.046	0.063	0.747	0.58	0.287	0.367
6	16	81921203	rs62043998	upstream_gene_variant	PLCG2	0.0314335814332598	0.0159550576318998	0.0563068915880924	0.03231751	0.01	0.066	1917.8047124265	-631.2769058855	8066.80397445125	1902.32475	1337.50000000001	5012.5	0	1	1	1	0.0403518339561926	0.056	8698.08088033675	3675	JOB_57	0.894	0.845	0.045	0.069	0.691	0.519	0.285	0.409
19	17	9588455	rs8079769	intron_variant	USP43	0.0269574467431597	0.0132656983546958	0.0482305663222112	0.03224908	0.012	0.06	4206.72075269225	469.015964820755	9112.28952382875	2106.576	1337.50000000001	5012.5	0	1	1	1	0.0349648679675154	0.048	8643.27355900799	3675	JOB_58	0.86	0.822	0.055	0.07	0.736	0.552	0.29	0.393
30	17	13672024	rs62054458	intron_variant	COX10-AS1	0.0175452141871507	0.00779173105121567	0.0321926256641463	0.01900189	0.008	0.033	1496.32248021175	-957.917342139751	7735.96383399125	1995.9865	1337.50000000001	3962.50000000001	0	1	1	1	0.0244008946129306	0.025	8693.881176131	2625	JOB_59	0.872	0.844	0.05	0.069	0.654	0.53	0.305	0.4
86	17	25642522	rs1047616	downstream_gene_variant	WSB1	0.0123481209606944	0.00343861120990476	0.0282570008875871	0.00477434	0	0.015	2721.18630859325	-107.928988962001	8809.93559965775	4653.295	1337.50000000001	9737.5	0	1	1	0	0.0248183896776823	0.015	8917.86458861975	8399.99999999999	JOB_60	0.911	0.861	0.047	0.064	0.706	0.564	0.305	0.414
4	17	44206665	snp_17_44206665;rs4792831	downstream_gene_variant	RNU7-101P	0.0361044578966433	0.0249438162607765	0.0696954585631172	0.03331756	0.021	0.05	5773.5732197105	2166.5307464185	9976.8535297595	4482.238625	2474.99999999999	8775.00000000001	0	1	1	0	0.0447516423023407	0.029	7810.32278334099	6300.00000000001	JOB_61	0.895	0.833	0.04	0.075	0.674	0.542	0.307	0.394
41	18	5973037	rs1076005	intron_variant	L3MBTL4	0.0171703067084031	0.00797278001430174	0.0405146890462594	0.01547771	0.005	0.03	2665.30352129375	-280.944029217252	8682.4435521315	2938.953875	1337.50000000001	8250	0	1	1	1	0.0325419090319577	0.025	8963.38758134876	6912.49999999999	JOB_62	0.934	0.847	0.053	0.068	0.604	0.497	0.331	0.422
60	19	13951830	rs1531212	upstream_gene_variant	MIR24-2	0.0202504140976953	0.00787487760905988	0.0358282261330756	0.02584291	0.008	0.048	1858.713618569	-562.284149644498	8304.0433763975	1785.430875	1337.50000000001	3787.49999999999	0	1	1	1	0.0279533485240157	0.04	8866.327526042	2449.99999999999	JOB_63	0.883	0.842	0.041	0.069	0.705	0.548	0.303	0.378
36	19	23568661	rs8103030	downstream_gene_variant	CTB-175P5.1	0.0254368837275735	0.00968821130236183	0.0525039929484008	0.02887966	0.006	0.06	1874.02366419749	-61.0384741480061	8072.701214145	1918.016125	1337.50000000001	4487.5	0	1	1	1	0.042815781646039	0.054	8133.73968829301	3149.99999999999	JOB_64	0.833	0.807	0.056	0.084	0.595	0.501	0.323	0.431
47	19	54837633	rs34969536	downstream_gene_variant	AC008984.6	0.0173081433119872	0.00754639124756221	0.0362377736219604	0.01996624	0.006	0.04	2920.6727904525	-46.8279875674966	8924.10524806625	2412.777875	1337.50000000001	6500	0	1	1	1	0.0286913823743982	0.034	8970.93323563375	5162.49999999999	JOB_65	0.891	0.817	0.046	0.071	0.657	0.568	0.324	0.387
16	20	55294098	rs2426652	downstream_gene_variant	AL133232.1	0.0198137833104913	0.00880686044102205	0.0380562223761129	0.01300921	0.004	0.028	1479.9095633405	-1292.272814933	7273.18787552124	3875.506625	1337.50000000001	9212.50000000001	0	1	1	1	0.0292493619350908	0.024	8565.46069045425	7875	JOB_66	0.909	0.855	0.042	0.069	0.702	0.519	0.287	0.404
34	2	49643063	rs11125238	intergenic_region	RNU6-439P-RPL7P13	0.0213518746342266	0.00983552877955171	0.0407612039878337	0.02152231	0.009	0.04	1509.90298208525	-223.356201123252	8014.56803804299	2507.003125	1337.50000000001	5537.49999999999	0	1	1	1	0.030925675208282	0.031	8237.92423916625	4199.99999999999	JOB_67	0.9	0.858	0.048	0.077	0.751	0.571	0.289	0.383
48	2	85339839	rs11884056	intergenic_region	LSM3P3-TCF7L1	0.0276811237753641	0.00669955565279287	0.0468833554776614	0.00688251	0	0.028	7942.77143155399	2714.21143526425	11964.456859798	4687.842625	1337.50000000001	9737.5	0	1	1	1	0.0401837998248685	0.028	9250.24542453376	8399.99999999999	JOB_68	0.876	0.851	0.049	0.07	0.66	0.514	0.299	0.418
71	2	86879419	rs34404720	intron_variant	CHMP3	0.0156021042609399	0.00646303444062673	0.0370421036691573	0.01948869	0.005	0.04	3174.556387435	725.918911099754	9766.60300361326	2546.983625	1337.50000000001	5712.50000000001	0	1	1	1	0.0305790692285306	0.035	9040.6840925135	4375	JOB_69	0.885	0.827	0.049	0.073	0.687	0.565	0.275	0.397
28	2	102887128	rs11674302	intergenic_region	AC007248.6-IL1RL1	0.0239633750772314	0.00899480236678999	0.0441085773643525	0.01543126	0.005	0.037	2482.88271593501	-7.32244812199667	8859.08906976725	4745.566375	1337.50000000001	10000	0	1	1	0	0.0351137749975625	0.032	8866.41151788925	8662.49999999999	JOB_70	0.893	0.824	0.042	0.071	0.705	0.555	0.295	0.391
33	2	104602547	rs10496379	intron_variant	RP11-76I14.1	0.0246969471696821	0.0114552845338377	0.0435030365324263	0.02430625	0.007	0.049	2207.19138200874	-369.79540472575	8956.10642415375	1646.1195	1337.50000000001	2737.5	0	1	1	1	0.0320477519985886	0.042	9325.9018288795	1399.99999999999	JOB_71	0.916	0.846	0.04	0.075	0.695	0.557	0.278	0.385
